"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE974079105877";"Röhrsdorf 1628";"In Betrieb";"Wind";"660";"660";"6/2/1999";"2/12/2020";"Sachsen";"01936";"Königsbrück";"Zur Siedlung";"15z";"";"";"14625270";"51,297535";"13,812";"";"";"Röhrsdorf";"65";"47";"Vestas Deutschland GmbH";"V47";"";"";"Horizontalläufer";"Windkraft an Land";"5/26/2021";"";"";"Hanse Windkraft GmbH";"ABR939893126392";"Volleinspeisung";"SGE976931316513";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL928527969634";"EEG979431977109";"E41874010000000000114000266300001";"6/2/1999";"660";"";"";"";"";""
"SEE963711152645";"Röhrsdorf 1629";"In Betrieb";"Wind";"660";"660";"6/2/1999";"2/12/2020";"Sachsen";"01936";"Königsbrück";"Zur Siedlung";"15z";"";"";"14625270";"51,296042";"13,805";"";"";"Röhrsdorf";"65";"47";"Vestas Deutschland GmbH";"V47";"";"";"Horizontalläufer";"Windkraft an Land";"2/12/2020";"";"";"Hanse Windkraft GmbH";"ABR939893126392";"Volleinspeisung";"SGE976931316513";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL928527969634";"EEG903442773382";"E41874010000000000314100051800001";"6/2/1999";"660";"";"";"";"";""
"SEE965365740445";"Rübenau 150-635 D 077-02";"In Betrieb";"Wind";"150";"150";"9/29/1995";"6/9/2020";"Sachsen";"09496";"Marienberg";"";"";"Einsiedel Sensenhammer";"Flur 4 Flurstück 129/8";"14521390";"50,587445";"13,31091";"";"";"Rübenau";"30";"23";"AN Windenergie GmbH";"AN BONUS 150 kW/30";"";"";"Horizontalläufer";"Windkraft an Land";"7/3/2023";"";"";"GefuE GmbH & Co. 1. Wind-Weiterbetriebs KG";"ABR982881274865";"Volleinspeisung";"SGE969544600865";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL929709956008";"EEG934547682415";"E41081010000000000000000000005770";"9/29/1995";"150";"";"";"";"";""
"SEE917692376897";"Puschwitz WEA 1";"In Betrieb";"Wind";"2000";"2000";"12/23/2001";"7/15/2020";"Sachsen";"02699";"Puschwitz";"";"";"Guhra";"Flurstück 226/3";"14625460";"51,239132";"14,293899";"";"";"Windpark Puschwitz";"78";"80";"Vestas Deutschland GmbH";"V 80-2.0";"";"";"Horizontalläufer";"Windkraft an Land";"5/19/2021";"";"";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"Volleinspeisung";"SGE959417146453";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL974541828532";"EEG905672475890";"E41874010000000000314100039200001";"12/23/2001";"2000";"";"";"";"";""
"SEE920204094677";"Wettersdorf WEA1";"In Betrieb";"Wind";"500";"500";"1/25/1996";"2/26/2020";"Sachsen";"04741";"Roßwein";"Windpark";"902";"";"";"14522510";"51,085321";"13,219992";"";"";"Wettersdorf";"65";"40,3";"ENERCON GmbH";"E-40";"";"";"Horizontalläufer";"Windkraft an Land";"5/5/2021";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE932994760892";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938203417274";"EEG930766245813";"E41081010000000000000000000005811";"1/25/1996";"500";"";"";"";"";""
"SEE945249240612";"827523";"In Betrieb";"Wind";"2300";"2300";"6/12/2020";"6/24/2020";"Sachsen";"09619";"Voigtsdorf";"";"";"Voigtsdorf";"Voitgtsdorf: 701";"14522090";"50,758651";"13,384331";"";"";"Voigtsdorf";"108";"82";"ENERCON GmbH";"E-82 E2";"";"";"Horizontalläufer";"Windkraft an Land";"5/9/2023";"";"";"Windkraft Rudolphberg GmbH & Co. KG";"ABR915038076487";"Volleinspeisung";"SGE956161321037";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL940387497232";"EEG932819100087";"E41081010000000000000000000244355";"6/12/2020";"2300";"WIN18-2/051,";"";"";"";""
"SEE908052921185";"781254";"In Betrieb";"Wind";"2000";"2000";"2/4/2011";"2/27/2020";"Sachsen";"02829";"Schöpstal";"";"";"Kunnersdorf";"Flur 7: Flurstück 2/1";"14626110";"51,204343";"14,957501";"";"";"Windpool Charlottenhof GmbH & Co.KG";"113,5";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"7/1/2021";"";"";"WINDPOOL Charlottenhof GmbH & Co.KG";"ABR962843708027";"Volleinspeisung";"SGE911869286675";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL974046595564";"EEG918574283937";"E41874010000000000314100755800001";"2/4/2011";"2000";"";"";"";"";""
"SEE958647638134";"822981";"In Betrieb";"Wind";"2000";"2000";"3/3/2011";"2/28/2020";"Sachsen";"09633";"Halsbrücke";"";"";"Krummenhennersdorf";"Flurstück 277";"14522240";"50,970689";"13,34308";"";"";"Windpool Auf den Langen GmbH & Co. KG";"84,6";"82";"ENERCON GmbH";"E82";"";"";"Horizontalläufer";"Windkraft an Land";"9/29/2022";"";"";"Windpool Auf den Langen GmbH & Co. KG";"ABR931076334570";"Volleinspeisung";"SGE944224502974";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL910653796130";"EEG957061102405";"E41081010000000000000000000034816";"3/3/2011";"2000";"";"";"";"";""
"SEE925006332033";"822982";"In Betrieb";"Wind";"2000";"2000";"12/30/2010";"2/28/2020";"Sachsen";"09633";"Halsbrücke";"";"";"Krummhennersdorf";"Flurstück: 322/1";"14522240";"50,974164";"13,343908";"";"";"Windpool Auf den Langen GmbH & Co. KG";"84,6";"82";"ENERCON GmbH";"E82";"";"";"Horizontalläufer";"Windkraft an Land";"10/21/2022";"";"";"Windpool Auf den Langen GmbH & Co. KG";"ABR931076334570";"Volleinspeisung";"SGE944224502974";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL910653796130";"EEG974311092675";"E41081010000000000000000000034818";"12/30/2010";"2000";"";"";"";"";""
"SEE908381073173";"Thonberg WEA 5.2";"In Betrieb";"Wind";"2300";"2300";"7/7/2015";"3/2/2020";"Sachsen";"01920";"Nebelschütz";"Kriepitzer Straße";"";"";"";"14625350";"51,243375";"14,160503";"";"";"Thonberg";"138";"82";"ENERCON GmbH";"E-82 E2 NH138";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE954384420490";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL964680043316";"EEG976823573031";"E41874010000000000314102812800001";"7/6/2015";"2300";"";"";"";"";""
"SEE978063114449";"Wettersdorf WEA2";"In Betrieb";"Wind";"500";"500";"2/15/1996";"3/3/2020";"Sachsen";"04741";"Roßwein";"Windpark";"901";"";"";"14522510";"51,082881";"13,220365";"";"";"Wettersdorf";"65";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"5/26/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE932994760892";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL938203417274";"EEG981970212047";"E41081010000000000000000000005812";"2/15/1996";"500";"";"";"";"";""
"SEE975121323751";"Wettersdorf WEA3";"In Betrieb";"Wind";"1800";"1800";"10/30/2002";"3/3/2020";"Sachsen";"04741";"Roßwein";"Wettersdorf";"496";"";"";"14522510";"51,080939";"13,223524";"";"";"Wettersdorf";"65";"70";"ENERCON GmbH";"E-66 / 18.70-2";"";"";"Horizontalläufer";"Windkraft an Land";"4/29/2021";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE997146387631";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL995399527941";"EEG948615272293";"E41081010000000000000000000008365";"10/30/2002";"1800";"";"";"";"";""
"SEE983069215335";"Windpark Kunnersdorf";"In Betrieb";"Wind";"2000";"2000";"12/22/2010";"3/5/2020";"Sachsen";"02829";"Schöpstal";"";"";"Kunnersdorf";"Flur 4, Flurstück 71/3";"14626520";"51,20886";"14,946464";"";"";"Windpark Kunnersdorf";"98,2";"70";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"2/23/2022";"";"";"Windpark Kunnersdorf GmbH & Co. KG";"ABR920455693971";"Volleinspeisung";"SGE930668396217";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL974046595564";"EEG915889299325";"E41874010000000000314100755500001";"12/22/2010";"2000";"";"";"";"";""
"SEE936281388783";"Hartha WEA1";"In Betrieb";"Wind";"1500";"1500";"10/23/2002";"3/9/2020";"Sachsen";"04746";"Hartha";"";"";"Hartha";"Flur Hartha: Flurstück 1183";"14522250";"51,091524";"12,95658";"";"";"Hartha";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE964247662899";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL952322059283";"EEG993961281192";"E41081010000000000000000000006690";"10/18/2002";"1500";"";"";"";"";""
"SEE965979254000";"441394";"In Betrieb";"Wind";"600";"600";"11/12/2002";"3/9/2020";"Sachsen";"04874";"Belgern";"";"";"Neußen";"Flur 2: 31/4";"14730045";"51,463235";"13,119965";"";"";"ENERCON Windpark GmbH & Co. Belgern II KG";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/19/2022";"";"";"Alterric Windpark GmbH & Co. Belgern II KG";"ABR983255549015";"Volleinspeisung";"SGE965124289000";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL957434312189";"EEG970436693728";"E41081010000000000000000000008255";"11/12/2002";"600";"";"";"";"";""
"SEE993340440257";"WKA1 Ebersdorf";"In Betrieb";"Wind";"600";"600";"12/19/2003";"3/9/2020";"Sachsen";"02708";"Löbau";"";"";"Ebersdorf";"Ebersdorf 663";"14626270";"51,068781";"14,677812";"";"";"Ebersdorf/Löbau";"50";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/19/2020";"";"";"Hellmuth Matthes KG";"ABR961513574726";"Volleinspeisung";"";"Stadtwerke Löbau GmbH (SNB926470799582)";"SNB926470799582";"Geprüft";"Mittelspannung";"SEL957370560361";"EEG910824183202";"E41874010000000000114046562800001";"12/19/2003";"600";"";"";"";"";""
"SEE965444935045";"Hartha WEA2";"In Betrieb";"Wind";"1500";"1500";"10/18/2002";"3/9/2020";"Sachsen";"04746";"Hartha";"";"";"Hartha";"Flur Hartha: Flurstück 1218";"14522250";"51,090226";"12,960913";"";"";"Hartha";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"1/27/2022";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE964247662899";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL952322059283";"EEG976180496585";"E41081010000000000000000000006691";"10/18/2002";"1500";"";"";"";"";""
"SEE909483437597";"Jiedlitz WEA1";"In Betrieb";"Wind";"2000";"2000";"12/17/2003";"3/9/2020";"Sachsen";"01906";"Burkau";"Lindenstraße";"";"";"";"14625060";"51,215074";"14,212878";"";"";"Jiedlitz";"100";"82";"REpower Systems SE";"MM82 NH100";"";"";"Horizontalläufer";"Windkraft an Land";"6/28/2021";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE987448808880";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL934082316097";"EEG955485723053";"E41874010000000000314100041300001";"12/17/2003";"2000";"";"";"";"";""
"SEE909249907111";"441395";"In Betrieb";"Wind";"600";"600";"11/14/2002";"3/9/2020";"Sachsen";"04874";"Belgern";"";"";"Neußen";"Flur 2: 31/5";"14730045";"51,464294";"13,1169";"";"";"ENERCON Windpark GmbH & Co. Belgern II KG";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/4/2022";"";"";"Alterric Windpark GmbH & Co. Belgern II KG";"ABR983255549015";"Volleinspeisung";"SGE965124289000";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL957434312189";"EEG914344455993";"E41081010000000000000000000008256";"11/14/2002";"600";"";"";"";"";""
"SEE931599265771";"441396";"In Betrieb";"Wind";"600";"600";"9/9/2002";"3/9/2020";"Sachsen";"04874";"Belgern";"";"";"Liebersee";"Flur2: 31/4";"14730045";"51,46373";"13,131024";"";"";"Windpark GmbH & Co. Belgern II KG";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"4/6/2022";"";"";"Alterric Windpark GmbH & Co. Belgern II KG";"ABR983255549015";"";"SGE965124289000";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL957434312189";"EEG931557605342";"E41081010000000000000000000008254";"9/9/2002";"600";"";"";"";"";""
"SEE907310615361";"WKA2 Ebersdorf";"In Betrieb";"Wind";"600";"600";"10/22/2004";"3/9/2020";"Sachsen";"02708";"Löbau";"";"";"Ebersdorf";"Ebersdorf 650";"14626270";"51,060338";"14,67013";"";"";"Ebersdorf/Löbau";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/19/2020";"";"";"Hellmuth Matthes KG";"ABR961513574726";"Volleinspeisung";"";"Stadtwerke Löbau GmbH (SNB926470799582)";"SNB926470799582";"Geprüft";"Mittelspannung";"SEL957370560361";"EEG971812670753";"E41874010000000000114047606400001";"10/22/2004";"600";"";"";"";"";""
"SEE950410706101";"441397";"In Betrieb";"Wind";"600";"600";"10/24/2002";"3/9/2020";"Sachsen";"04874";"Belgern";"";"";"Liebersee";"Flur 9: 15/1";"14730045";"51,46408";"13,134765";"";"";"ENERCON Windpark GmbH & Co. Belgern II KG";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/7/2022";"";"";"Alterric Windpark GmbH & Co. Belgern II KG";"ABR983255549015";"Volleinspeisung";"SGE965124289000";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL957434312189";"EEG999905288449";"E41081010000000000000000000008253";"10/24/2002";"600";"";"";"";"";""
"SEE979235950537";"441398";"In Betrieb";"Wind";"600";"600";"9/12/2002";"3/9/2020";"Sachsen";"04874";"Belgern";"";"";"Liebersee";"Flur 9: 14";"14730045";"51,465545";"13,134135";"";"";"ENERCON Windpark GmbH & Co. Belgern II KG";"65";"44";"ENERCON GmbH";"E-40/6.44";"";"";"Horizontalläufer";"Windkraft an Land";"3/4/2022";"";"";"Alterric Windpark GmbH & Co. Belgern II KG";"ABR983255549015";"";"SGE965124289000";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL957434312189";"EEG901518003760";"E41081010000000000000000000008252";"9/12/2002";"600";"";"";"";"";""
"SEE933429678461";"Herrnhut WEA1";"In Betrieb";"Wind";"2000";"2000";"9/2/2004";"3/10/2020";"Sachsen";"02747";"Herrnhut";"Ruppersdorfer Straße";"";"";"";"14626180";"51,01097";"14,723986";"";"";"Herrnhut";"100";"82";"REpower Systems SE";"MM82 NH100";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE946629249409";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL958602721284";"EEG930935874189";"E41874010000000000114046986300001";"9/1/2004";"2000";"";"";"";"";""
"SEE947924579666";"Herrnhut WEA2";"In Betrieb";"Wind";"2000";"2000";"9/4/2004";"3/10/2020";"Sachsen";"02747";"Herrnhut";"Ruppersdorfer Straße";"";"";"";"14626180";"51,014344";"14,720479";"";"";"Herrnhut";"100";"82";"REpower Systems SE";"MM82 NH100";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE946629249409";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL958602721284";"EEG992348508235";"E41874010000000000314100048400001";"9/2/2004";"2000";"";"";"";"";""
"SEE985710275712";"Herrnhut WEA3";"In Betrieb";"Wind";"2000";"2000";"11/15/2005";"3/10/2020";"Sachsen";"02747";"Herrnhut";"Ruppersdorfer Straße";"";"";"";"14626180";"51,010455";"14,71805";"";"";"Herrnhut";"100";"82";"REpower Systems SE";"MM82 NH100";"";"";"Horizontalläufer";"Windkraft an Land";"5/10/2022";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE956208234474";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL958602721284";"EEG954437621539";"E41874010000000000114047698500001";"11/15/2005";"2000";"";"";"";"";""
"SEE980152866702";"Herrnhut WEA4";"In Betrieb";"Wind";"2000";"2000";"11/11/2005";"3/10/2020";"Sachsen";"02747";"Herrnhut";"Ruppersdorfer Straße";"";"";"";"14626180";"51,007837";"14,723004";"";"";"Herrnhut";"100";"82";"REpower Systems SE";"MM82 NH100";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE956208234474";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL958602721284";"EEG964694970431";"E41874010000000000314100048800001";"11/14/2005";"2000";"";"";"";"";""
"SEE932502160220";"Leippe-Torno WEA1";"In Betrieb";"Wind";"600";"600";"12/19/2001";"3/10/2020";"Sachsen";"02991";"Leippe-Torno";"";"";"Leippe";"Flur 5 Flurstück 79";"14625310";"51,417763";"14,056107";"";"";"Leippe-Torno";"75";"48";"Jacobs Energie GmbH";"Jacobs 48 / 600";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE915748965859";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL955568872524";"EEG958222758820";"E41081010000000000000000000007583";"12/19/2001";"600";"";"";"";"";""
"SEE987015273783";"Leippe-Torno WEA2";"In Betrieb";"Wind";"600";"600";"12/19/2001";"3/10/2020";"Sachsen";"02991";"Leippe-Torno";"";"";"Leippe";"Flur 5 Flurstück 52";"14625310";"51,41367";"14,054349";"";"";"Leippe-Torno";"75";"48";"Jacobs Energie GmbH";"Jacobs 48 / 600";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE915748965859";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL955568872524";"EEG991328573621";"E41081010000000000000000000007582";"12/19/2001";"600";"";"";"";"";""
"SEE938803469895";"Leippe-Torno WEA3";"In Betrieb";"Wind";"600";"600";"12/20/2001";"3/10/2020";"Sachsen";"02991";"Leippe-Torno";"";"";"Leippe";"Flur 5 Flurstück 86";"14625310";"51,416171";"14,051239";"";"";"Leippe-Torno";"75";"48";"Jacobs Energie GmbH";"48 / 600";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE915748965859";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL955568872524";"EEG900404214655";"E41081010000000000000000000007584";"12/18/2001";"600";"";"";"";"";""
"SEE992183230735";"Thonberg WEA 2.1";"In Betrieb";"Wind";"1500";"1500";"11/3/2001";"3/11/2020";"Sachsen";"01920";"Elstra";"Hauptstraße";"";"";"";"14625130";"51,239806";"14,15358";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE973446508075";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG997508681469";"E41874010000000000114044829600001";"11/5/2001";"1500";"";"";"";"";""
"SEE939822708378";"Thonberg WEA 2.2";"In Betrieb";"Wind";"1500";"1500";"11/8/2001";"3/11/2020";"Sachsen";"01920";"Elstra";"Hauptstraße";"";"";"";"14625130";"51,241083";"14,1593";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE973446508075";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG942611206450";"E41874010000000000114047599100001";"10/11/2002";"1500";"";"";"";"";""
"SEE930375074248";"Thonberg WEA 2.3";"In Betrieb";"Wind";"1500";"1500";"11/2/2001";"3/11/2020";"Sachsen";"01917";"Kamenz";"Bautzner Straße";"290";"";"";"14625250";"51,237042";"14,158919";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE973446508075";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG931753855800";"E41874010000000000314100048100001";"11/7/2001";"1500";"";"";"";"";""
"SEE992076124615";"Thonberg WEA 2.4";"In Betrieb";"Wind";"1500";"1500";"11/4/2001";"3/11/2020";"Sachsen";"01920";"Elstra";"Prietitzer Straße";"";"";"";"14625130";"51,233715";"14,151839";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE973446508075";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG906654854511";"E41874010000000000314100048200001";"11/5/2001";"1500";"";"";"";"";""
"SEE989063737910";"Thonberg WEA 3.1";"In Betrieb";"Wind";"1500";"1500";"10/11/2002";"3/11/2020";"Sachsen";"01920";"Nebelschütz";"";"";"Nebelschütz";"239";"14625350";"51,24303";"14,164836";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE927279910031";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG951424550445";"E41874010000000000314100048300001";"11/5/2001";"1500";"";"";"";"";""
"SEE984446666535";"Thonberg WEA 3.2";"In Betrieb";"Wind";"1500";"1500";"10/7/2002";"3/11/2020";"Sachsen";"01920";"Elstra";"Prietitzer Straße";"";"";"";"14625130";"51,23348";"14,147293";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE923453749497";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG912463543171";"E41874010000000000314100048500001";"10/8/2002";"1500";"";"";"";"";""
"SEE920998473597";"Thonberg WEA 4.1";"In Betrieb";"Wind";"1500";"1500";"10/26/2002";"3/11/2020";"Sachsen";"01920";"Elstra";"Hauptstraße";"";"";"";"14625130";"51,24451";"14,153333";"";"";"Thonberg";"85";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE904579875109";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG951568953942";"E41874010000000000314100048600001";"10/17/2002";"1500";"";"";"";"";""
"SEE919388446273";"Thonberg WEA 4.2";"In Betrieb";"Wind";"1500";"1500";"10/26/2002";"3/11/2020";"Sachsen";"01920";"Elstra";"Hauptstraße";"";"";"";"14625130";"51,242187";"14,154791";"";"";"Thonberg";"84";"77";"REpower Systems SE";"MD77 NH85";"";"";"Horizontalläufer";"Windkraft an Land";"5/17/2023";"";"";"Steffen Stecher e.K.";"ABR981064215428";"Volleinspeisung";"SGE904579875109";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL999155186335";"EEG941095325268";"E41874010000000000314100048700001";"10/17/2002";"1500";"";"";"";"";""
